ID,materialNumber,description,materialGroup,baseUnit,criticality,safetyStock,reorderPoint,standardPrice,currencyCode,isActive
10000000-0000-4a11-8000-000000000001,MAT1001,Hydraulic Pump,MECH,EA,high,20,10,1250.00,EUR,true
10000000-0000-4a11-8000-000000000002,MAT1002,Valve Assembly,VALV,EA,medium,15,8,450.00,EUR,true
10000000-0000-4a11-8000-000000000003,MAT1003,Control Board,ELEC,EA,critical,30,12,2300.00,USD,true
10000000-0000-4a11-8000-000000000004,MAT1004,Motor Drive,MECH,EA,high,18,9,980.00,EUR,true
10000000-0000-4a11-8000-000000000005,MAT1005,Sensor Unit,ELCT,EA,medium,14,7,640.00,USD,true
10000000-0000-4a11-8000-000000000006,MAT1006,Gearbox,MECH,EA,high,25,12,1750.00,EUR,true
10000000-0000-4a11-8000-000000000007,MAT1007,Bearing Kit,MECH,EA,medium,16,8,320.00,EUR,true
10000000-0000-4a11-8000-000000000008,MAT1008,PLC Module,ELEC,EA,critical,35,15,2100.00,EUR,true
10000000-0000-4a11-8000-000000000009,MAT1009,Filter Element,FLTR,EA,low,12,6,180.00,USD,true
10000000-0000-4a11-8000-000000000010,MAT1010,Pressure Seal,SEAL,EA,medium,10,5,260.00,EUR,true
10000000-0000-4a11-8000-000000000011,MAT1011,Actuator Arm,MECH,EA,high,22,10,860.00,USD,true
10000000-0000-4a11-8000-000000000012,MAT1012,Servo Motor,MECH,EA,critical,28,13,3100.00,EUR,true
10000000-0000-4a11-8000-000000000013,MAT1013,Cable Harness,ELEC,EA,medium,17,8,540.00,USD,true
10000000-0000-4a11-8000-000000000014,MAT1014,Cooling Fan,MECH,EA,high,20,9,760.00,EUR,true
10000000-0000-4a11-8000-000000000015,MAT1015,Relay Module,ELEC,EA,medium,13,6,410.00,USD,true
10000000-0000-4a11-8000-000000000016,MAT1016,Spring Pack,MECH,EA,low,11,5,150.00,EUR,true
10000000-0000-4a11-8000-000000000017,MAT1017,Terminal Block,ELEC,EA,medium,15,7,330.00,USD,true
10000000-0000-4a11-8000-000000000018,MAT1018,Shock Absorber,MECH,EA,high,24,11,1120.00,EUR,true
10000000-0000-4a11-8000-000000000019,MAT1019,Latch Kit,MECH,EA,medium,12,6,280.00,USD,true
10000000-0000-4a11-8000-000000000020,MAT1020,Bracket Plate,MECH,EA,low,10,5,110.00,EUR,true
