ID,supplier_ID,material_ID,leadTimeDays,isPreferred,isActive
30000000-0000-4c33-8000-000000000001,20000000-0000-4b22-8000-000000000001,10000000-0000-4a11-8000-000000000001,14,true,true
30000000-0000-4c33-8000-000000000002,20000000-0000-4b22-8000-000000000002,10000000-0000-4a11-8000-000000000002,21,false,true
30000000-0000-4c33-8000-000000000003,20000000-0000-4b22-8000-000000000003,10000000-0000-4a11-8000-000000000003,10,true,true
30000000-0000-4c33-8000-000000000004,20000000-0000-4b22-8000-000000000004,10000000-0000-4a11-8000-000000000004,16,false,true
30000000-0000-4c33-8000-000000000005,20000000-0000-4b22-8000-000000000005,10000000-0000-4a11-8000-000000000005,9,true,true
30000000-0000-4c33-8000-000000000006,20000000-0000-4b22-8000-000000000006,10000000-0000-4a11-8000-000000000006,19,true,true
30000000-0000-4c33-8000-000000000007,20000000-0000-4b22-8000-000000000007,10000000-0000-4a11-8000-000000000008,11,false,true
30000000-0000-4c33-8000-000000000008,20000000-0000-4b22-8000-000000000008,10000000-0000-4a11-8000-000000000012,13,true,true
30000000-0000-4c33-8000-000000000009,20000000-0000-4b22-8000-000000000001,10000000-0000-4a11-8000-000000000011,12,true,true
30000000-0000-4c33-8000-000000000010,20000000-0000-4b22-8000-000000000003,10000000-0000-4a11-8000-000000000017,15,false,true
